ecz,year,cdf_release,cdf_disbursed,cdf_expenditure,cdf_burn_rate,projects_release,projects_expenditure,project_burn_rate,loans_issued,loans_due,loans_recovered,repay_rate
kalabo central,2024,10.096215,7.286215,29.122553,0.9836226327533496,19.092222,17.957663,0.9405748058031173,2.15891,6.348967,0.75708,0.11924459522312844
kalomo central,2022,25.739911,23.739911,5.82032,0.2261204399657792,11.938162,1.978737,0.165748881611759,NA,NA,NA,NA
kalomo central,2023,27.26147,26.22294,25.996161,0.9535861785883152,14.619613,1.711343,0.1170580233553378,5.698,5.9829,0,0
kalomo central,2024,14.90625,13,24.015969,0.6948880323465936,23.551292,13.550863,0.5753766290189091,NA,NA,NA,NA
kalulushi,2022,25.739911,23.739911,4.681486,0.18187654184196675,11.938162,0,0,NA,NA,NA,NA
kalulushi,2023,28.198218,28.082534,26.013726,0.922530849289838,15.216297,6.170274,0.40550430896557815,3.838652,1.283234,0.499599,0.38932805708078183
kalulushi,2024,20.11256,17.41256,37.141884,0.8872862274816256,21.334335,18.54473,0.869243405055747,5.034154,4.299897,1.102457,0.25639149030779107
kamfinsa,2022,25.739911,23.739911,8.854024,0.34398036574407737,11.938162,3.851706,0.32263810794324954,NA,NA,NA,NA
kamfinsa,2023,28.198218,28.082534,23.484301,0.8328292589269294,15.216297,5.043777,0.33147203948503373,6.151359,0.652437,0.136293,0.2088983304135112
kamfinsa,2024,18.191165,15.23499,38.481637,0.9387622497407292,27.125164,21.617431,0.7969511631339814,3.78902,5.468961,0.870702,0.15920793730289903
kanchibiya,2022,25.739911,23.739911,9.020111,0.3504328744571028,11.938162,3.652334,0.3059377147001356,NA,NA,NA,NA
kanchibiya,2023,27.26147,26.22294,30.81518,1.1303565068207988,14.337847,3.7926,0.2645167018451236,6.162713,0.618646,0,0
kanchibiya,2024,21.693739,18.693739,31.346014,0.964225722107724,20.687813,19.814698,0.9577956838646984,3.977499,0.541802,0.221159,0.408191553371896
kankoyo,2022,26.53844,23.739911,6.587868,0.24823870581692067,11.938162,0.068099,0.00570431193679563,NA,NA,NA,NA
kankoyo,2023,28.198221,28.08254,29.431467,1.0437348866795533,15.216297,5.401267,0.3549659289641889,0,0,0,NA
kankoyo,2024,24.640082,21.940082,35.841182,0.8506819293845731,22.62768,20.945956,0.9256784610706886,6.530625,3.664903,0.828197,0.2259806057622807
kantanshi,2022,26.298325,23.739911,5.341916,0.2031276136407927,11.938162,0.864998,0.07245654733115534,NA,NA,NA,NA
kantanshi,2023,28.198221,28.08254,26.179307,0.9284027882468188,15.216297,7.119405,0.4678802602236274,0,0,0,NA
kantanshi,2024,25.734306,23.034306,38.898532,0.84156179253542,22.763919,20.176453,0.8863347739025077,8.166838,3.664898,0.718101,0.19594024172023344
kanyama,2022,25.739911,23.739911,6.931926,0.26930652557423373,11.938162,2.627609,0.22010163708617791,NA,NA,NA,NA
kanyama,2023,28.198221,28.096442,23.279769,0.8255758049417373,15.325,5.299963,0.3458377161500816,5.7319,1.791462,0.27428399999999997,0.15310623390281233
kanyama,2024,7.7,5,29.77917,0.8271364421531368,18.115384,15.02606,0.8294640621473991,6.247275,2.124499,0.304519,0.14333685259442344
kaoma central,2022,25.739911,23.739911,6.809881,0.26456505618842274,11.938162,0.533351,0.04467614026346769,NA,NA,NA,NA
kaoma central,2023,27.26147,26.209038,21.714449,0.7965252424025557,14.762086,4.16176,0.2819222161420818,2.35,2.52625,0,0
kaoma central,2024,13.686451,10.876451,38.17827,0.9907478692181578,22.095869,23.350674,1.0567891219847474,3.5,3.565254,2.887413,0.8098758181044043
kapiri mposhi,2022,25.7,23.739911,4.829668,0.18792482490272375,12.855162,0,0,NA,NA,NA,NA
kapiri mposhi,2023,27.26147,26.209038,19.757335,0.7247347630190155,14.279547,0,0,2.754588,0.276506,0,0
kapiri mposhi,2024,12.775,10,33.253585,0.8404641662440367,18.948104,16.942426,0.8941488815978633,6.246465,2.071911,0.510131,0.2462127958198977
kapoche,2022,25.739911,23.739911,3.534952,0.1373334973846646,11.938162,1.45831,0.12215532005680606,NA,NA,NA,NA
kapoche,2023,28.198221,28.08254,24.517636,0.8694745672076263,14.925068,8.822508,0.5911201208597509,6.000371,0,0,NA
kapoche,2024,13.560726,11.453232,31.309404,0.815793755075032,21.54374,14.768226,0.6854996393383879,8.891706,0.849027,0.20305,0.239156116354368
kaputa,2022,25.739911,23.739911,5.68738,0.22095569794316697,11.938162,0.550548,0.04611664676689762,NA,NA,NA,NA
kaputa,2023,28.198221,28.096442,20.185624,0.7158474288147468,28.796683,8.629769,0.299679272088386,0.656625,0.131325,0,0
kaputa,2024,12.775,10,38.821416,0.9519085953916652,25.741769,25.855333,1.0044116626172817,3.342165,2.615107,1.520311,0.5813570916983511
kasama central,2022,25.734783,23.739911,4.730663,0.18382369884370112,12.855162,1.00654,0.07829850763452068,NA,NA,NA,NA
kasama central,2023,28.198221,28.086457,26.51673,0.9403688977400384,57.356344,25.762868,0.4491720741475433,1.701329,0.340266,0,0
kasama central,2024,11.405001,10.000001,32.860367,0.9828331827096988,19.672342,18.869496,0.9591890990915064,3.969879,0.709341,0.14685,0.2070231383777337
kasempa,2022,25.7,23.739911,7.476138,0.2909003112840467,11.938162,3.985354,0.33383313109672996,NA,NA,NA,NA
kasempa,2023,25.279671,22.24544,30.868752,1.221089942191099,13.688942,7.341567,0.536313690276429,2.245,NA,0.08716522,NA
kasempa,2024,26.098211,23.098211,28.469443,0.8782317834444733,17.981176,15.122107,0.8409965510598417,3.1824,3.455145,0.528292,0.1529000953650281
kasenengwa,2022,25.739911,23.739911,8.265465,0.3211147466671505,11.938162,1.767545,0.14805838620719003,NA,NA,NA,NA
kasenengwa,2023,27.26147,26.22294,31.403088,1.1519220350186543,14.762086,20.366216,1.3796299520271051,4.65926,0,0,NA
kasenengwa,2024,25.499735,23.434134,35.498759,0.8884615197868299,23.977931,21.045095,0.8776860272056,NA,NA,NA,NA
katombola,2022,25.739911,23.739911,7.544168,0.29309223330259376,11.938162,0.087263,0.00730958417216988,NA,NA,NA,NA
katombola,2023,27.26147,26.209038,20.891942,0.7663541988014586,14.279546,9.997331,0.7001154658558473,5.913885,2.464688,1.085082,0.4402512610115357
katombola,2024,10.7,8,32.474652,0.9009349599551968,26.356197,21.184706,0.8037846279567572,7.520885,1.802878,0,0
katuba,2022,25.739911,23.739911,13.238228,0.5143074504026063,11.938162,3.025956,0.2534691688720592,NA,NA,NA,NA
katuba,2023,27.26147,26.209038,22.337721,0.8193879860477076,14.279546,5.76,0.4033741688986471,5.45672,0.516869,0.358473,0.6935471076810565
