constit_name_id,year,cdf_release,cdf_expenditure,cdf_disbursed,overall_burn_rate,projects_release,projects_expenditure,project_burn_rate,loans_issued,loans_due,loans_recovered,repay_rate
69,2022,25739911,6697148,23739911,0.2601853596152683,11938162,950458,0.07961510322945861,NA,NA,NA,NA
69,2023,28198218,47926502,28082534,1.699628749589779,15216297,0,0,3227785,2472723,500578,0.20243998215732212
69,2024,24846249,40507556,22146249,0.8711283818987138,29909164,24604805,0.8226510443421288,3453747,5656549,715745,0.12653386366846642
70,2022,25739911,3327874,23739911,0.12928848122279832,12855162,0,0,NA,NA,NA,NA
70,2023,27261470,16676833,26209038,0.6117363810535529,14279546,3153653,0.22085106907460503,0,0,0,NA
70,2024,0,20878318,0,0.6312867834302655,19886983,8785333,0.4417629863715376,6200000,910000,0,0
71,2022,25739911,3894966,23739911,0.15132010363205994,11938162,1335947,0.11190558479605152,NA,NA,NA,NA
71,2023,21400000,23558659,14500000,1.1008719158878504,25084197,9332352,0.37204109025295884,2865000,579688,0,0
71,2024,9573221,26896742,6798221,0.9938823381604668,18802121,15529028,0.8259189481867498,3788463,1280733,104321,0.08145413602991412
72,2022,25739911,8975621,23739911,0.3487044302523035,11938162,4325609,0.36233458718352124,NA,NA,NA,NA
72,2023,27473155,21671913,26632408,0.788839614525525,14876713,1904528,0.12802075297143933,2102800,2260510,0,0
72,2024,7774719,25747052,4924719,0.8659176904639238,15958015,12688911,0.7951434435924518,3492463,7286903,1006881,0.13817680844660618
73,2022,25739911,5346682,23739911,0.20771952164092564,11938162,3720412,0.31164026757217733,NA,NA,NA,NA
73,2023,27261470,24842705,26209038,0.911275327412645,14279546,4889806,0.34243427627180867,NA,NA,NA,NA
73,2024,18113067,30182197,15263067,0.7522110541605121,21453478,15447806,0.7200606820022376,6890740,1971035,304574,0.1545249069651224
74,2022,25739911,8284908,23739911,0.32187011058429843,11938162,3348469,0.2804844665368086,NA,NA,NA,NA
74,2023,27261470,36946901,26222940,1.355279117377016,14279546,9785429,0.6852759184360623,4070892,398952,29787,0.07466311736750286
74,2024,30635650,36083342,27568453,0.9994155290135475,25164879,24270156,0.964445567173202,7655784,4055952,860696,0.2122056671282106
75,2022,25734783,4867679,23739911,0.1891478548701965,12855162,1140018,0.088681729565135,NA,NA,NA,NA
75,2023,28198221,23409059,28086457,0.8301608459625875,NA,0,NA,1518640,303728,NA,NA
75,2024,11405000,33602457,10000000,0.9294546541445087,22359926,17880742,0.7996780490239548,4668994,223920,15444,0.06897106109324759
76,2022,25739911,4547533,23739911,0.17667244459392265,11938162,1791915,0.15009973897154352,NA,NA,NA,NA
76,2023,28198220,26758924,28082538,0.9489579129462782,15269337,4016868,0.26306761059763106,6032000,6484400,87248,0.013455061378076614
76,2024,21444701,39823991,19694701,0.9146234085953306,31384307,27690673,0.8823095249482488,4020975,880462,11183,0.012701286370110237
77,2022,25739911,7380684,23739911,0.2867408515903571,11938162,0,0,NA,NA,NA,NA
77,2023,27261469,36171422,26209036,1.3268331944987997,14261545,23944584,1.6789614308968628,6151771,732497,271934,0.37124247607840033
77,2024,27542136,35944405,24692136,0.9940259558314422,24705958,24670488,0.9985643139197435,3487500,159390,0,0
78,2022,25739911,6599182,23739911,0.25637936354946994,11938162,1641550,0.137504416509007,NA,NA,NA,NA
78,2023,27261470,31229427,26209038,1.1455518356126797,14244118,2603167,0.1827538216125421,5871267,586436,251017,0.4280381831947561
78,2024,25097277,34580530,21172277,0.8593451909886538,25085165,20260530,0.8076697920862789,NA,NA,NA,NA
79,2022,25739911,4333778,23739911,0.16836802582573032,12855162,1400943,0.10897902336820026,NA,NA,NA,NA
79,2023,21400000,21680656,14500000,1.01311476635514,11588100,0,0,567355,113471,0,0
79,2024,17828221,28983922,14798221,0.8064220683791218,16971519,14302691,0.8427466628060811,3607587,1441992,87104,0.06040532818489978
80,2022,25739911,6852127,23739911,0.26620632060460503,11938162,677841,0.05677934341986648,NA,NA,NA,NA
80,2023,21400000,22521571,14500000,1.0524098598130842,24764786,9340800,0.3771807275055799,1207672,171048,0,0
80,2024,17573220,25689868,14798220,0.72428260552942,21206281,15315942,0.7222361148567257,3599500,1402973,573840,0.409017137179404
